Date,Open,High,Low,Close,Volume
2017-12-20,12782.56,12791.66,12741.87,12747.55,0
2017-12-21,12771.21,12826.03,12770.86,12800.21,0
2017-12-22,12803.98,12807.5,12773.82,12797.44,0
2017-12-26,12794.13,12819.57,12794.13,12808.9,0
2017-12-27,12808.9,12834.55,12808.36,12821.98,0
2017-12-28,12839.54,12853.92,12823.56,12853.09,0
2017-12-29,12878.35,12886.11,12808.82,12808.84,0
2018-01-02,12860.93,12902.72,12842.27,12902.72,0
2018-01-03,12910.63,12963.39,12906.99,12957.28,0
2018-01-04,12999.53,13045.16,12999.53,13028.46,0
2018-01-05,13066.37,13104.52,13039.08,13103.23,0
2018-01-08,13096.65,13117.24,13065.24,13114.35,0
2018-01-09,13123.83,13156.88,13110.9,13120.84,0
2018-01-10,13106,13131.11,13070.84,13106.6,0
2018-01-11,13106.6,13210.77,13106.6,13210.77,0
2018-01-12,13240.96,13299.19,13237.55,13294.34,0
2018-01-16,13343.82,13371.97,13215.26,13246.86,0
2018-01-17,13282.48,13376.8,13255.38,13352.39,0
2018-01-18,13341.76,13353.14,13299.93,13315.91,0
2018-01-19,13342.71,13384.46,13331.7,13384.46,0
2018-01-22,13388.32,13470.4,13381.33,13470.37,0
2018-01-23,13461.87,13482.42,13434.94,13474.11,0
2018-01-24,13520.07,13556.38,13452.75,13507.66,0
2018-01-25,13548.87,13555.51,13479.57,13512.66,0
2018-01-26,13547.28,13637.02,13539.2,13637.02,0
2018-01-29,13592.8,13605.91,13520.68,13524.65,0
2018-01-30,13438.5,13458.54,13369.42,13375.51,0
2018-01-31,13416.83,13443.25,13320.37,13367.96,0
2018-02-01,13338.99,13414.78,13324.32,13381.97,0
2018-02-02,13294.35,13294.35,13075.88,13085.35,0
2018-02-05,12963.62,13050.16,12518.21,12572.93,0
2018-02-06,12340.47,12779.15,12337.76,12745.45,0
2018-02-07,12696.95,12866.58,12685.43,12687.18,0
2018-02-08,12701.88,12701.88,12270.65,12270.65,0
2018-02-09,12364.31,12484.61,12048.66,12405.82,0
2018-02-12,12496.35,12627.41,12416.91,12560.12,0
2018-02-13,12498.08,12599.72,12482.35,12574.37,0
2018-02-14,12515.49,12761.43,12505.24,12746.72,0
2018-02-15,12817.18,12857.72,12695.24,12856.87,0
2018-02-16,12826.9,12961.12,12826.9,12874.36,0
2018-02-20,12817.14,12855.72,12730.01,12763.34,0
2018-02-21,12777.36,12896.93,12695.31,12695.53,0
2018-02-22,12732.82,12828,12687.24,12711.75,0
2018-02-23,12766.13,12885.13,12755.34,12884.11,0
2018-02-26,12922.16,13005.51,12881.98,12999.62,0
2018-02-27,12986.94,13018.15,12819.22,12819.22,0
2018-02-28,12852.11,12873.85,12650.81,12652.55,0
2018-03-01,12644.43,12716.45,12435.87,12518.73,0
2018-03-02,12444.65,12576.56,12391.21,12557.99,0
2018-03-05,12498.45,12710.57,12482.78,12680.73,0
2018-03-06,12722.31,12735.44,12648.25,12720.77,0
2018-03-07,12634.04,12724.84,12603.5,12707.01,0
2018-03-08,12725.16,12754.32,12672.36,12745.01,0
2018-03-09,12802.14,12918.82,12782.93,12918.82,0
2018-03-12,12930.43,12963.42,12881.17,12898.4,0
2018-03-13,12938.5,12963.09,12809.07,12831.75,0
2018-03-14,12874.52,12892.9,12743.9,12762.67,0
2018-03-15,12788.16,12813.6,12722.93,12743.61,0
2018-03-16,12752.69,12821.86,12752.69,12784.39,0
2018-03-19,12755.55,12755.55,12580.07,12651.46,0
2018-03-20,12663.25,12692.53,12643.59,12663.64,0
2018-03-21,12663.66,12776.33,12654.72,12683.76,0
2018-03-22,12574.16,12597.1,12369.73,12377.39,0
2018-03-23,12413.61,12449.03,12166.54,12177.7,0
2018-03-26,12327.06,12444.4,12241.48,12433.15,0
2018-03-27,12466.39,12517.26,12246.41,12302.54,0
2018-03-28,12325.29,12399.23,12271.03,12308.9,0
2018-03-29,12356.19,12512,12356.08,12452.06,0
2018-04-02,12432.89,12441.85,12107.72,12216.71,0
2018-04-03,12274.26,12380.25,12220.21,12367.07,0
