Date,Open,High,Low,Close,Volume
2000-07-31,10514.29,10603.29,10498.08,10521.9,179336400
2000-08-01,10523.81,10626.18,10518.32,10606.9,154448400
2000-08-02,10609.15,10724.44,10588.27,10687.5,166668000
2000-08-03,10679.37,10744.31,10623.99,10706.5,164811600
2000-08-04,10713.36,10769.58,10665.19,10767.7,153764992
2000-08-07,10773.98,10891.92,10737.35,10867,147991808
2000-08-08,10865.15,10987.88,10837.89,10982,208814400
2000-08-09,10970.94,10978.27,10892.65,10905.8,190158592
2000-08-10,10901.06,10946.49,10887.52,10910.2,147175808
2000-08-11,10905.98,11067.73,10902.68,11026.7,158222400
2000-08-14,11027.07,11177.34,11006.19,11173.9,143085600
2000-08-15,11175.05,11175.05,11046.85,11068.4,158293792
2000-08-16,11068.83,11088.61,10961.87,11008.3,165800992
2000-08-17,11010.95,11091.54,10984.77,11057.8,181121408
2000-08-18,11051.2,11082.38,11006.56,11047.9,168167392
2000-08-21,11058.85,11106.19,11027.07,11079.8,150246000
2000-08-22,11082.2,11189.51,11082.01,11139.1,149746208
2000-08-23,11130.55,11171.84,11059.76,11144.6,148563008
2000-08-24,11143.91,11197.39,11120.47,11180.9,146849408
2000-08-25,11180.54,11210.94,11155.63,11192.9,130478400
2000-08-28,11194.48,11318.69,11189.11,11285.39,152452672
2000-08-29,11249.27,11256.07,11196.97,11217.6,112542560
2000-08-30,11209.01,11209.92,11096.72,11103.3,149419808
2000-08-31,11105.23,11310.55,11104.86,11229.1,186986400
2000-09-01,11219.54,11312.77,11219.54,11242.1,127642800
2000-09-05,11221.76,11301.67,11184.77,11260.9,177990000
2000-09-06,11253.58,11401.19,11253.21,11314.6,229255200
2000-09-07,11316.01,11323.87,11223.24,11261.3,226664400
2000-09-08,11261.72,11261.72,11191.42,11221.7,185252400
2000-09-11,11219.54,11286.13,11139.26,11186.6,163322400
2000-09-12,11197.71,11255.43,11113.73,11233.2,175470592
2000-09-13,11225.03,11230.64,11140.74,11183.2,220534208
2000-09-14,11189.58,11206.59,11069.71,11087.4,223186208
2000-09-15,11087.84,11110.04,10917.66,10946.5,297095392
2000-09-18,10926.42,10935.58,10798.17,10809.2,202928992
2000-09-19,10812.22,10838.12,10762.28,10789.2,218361600
2000-09-20,10794.47,10823.69,10567.32,10687.9,248655600
2000-09-21,10680.52,10783,10660.91,10765.6,189893408
2000-09-22,10678.3,10858.1,10621.79,10847.3,497117408
2000-09-25,10847.37,10895.83,10783.37,10808.1,265118400
2000-09-26,10806.3,10813.24,10616.52,10632.33,328205408
2000-09-27,10634.45,10678.3,10579.52,10628.3,277093184
2000-09-28,10629.84,10855.88,10623.55,10825.5,237853792
2000-09-29,10821.4,10821.4,10650.9,10650.9,241087200
2000-10-02,10658.05,10721.22,10653.14,10699.3,219391808
2000-10-03,10709.84,10856.99,10709.84,10716.78,264792000
2000-10-04,10723.33,10849.59,10715.67,10784.4,269667584
2000-10-05,10783.72,10842.93,10723.4,10723.4,221748000
2000-10-06,10726.76,10779.48,10518.85,10594.04,242617200
2000-10-09,10596.91,10641.31,10546.41,10568.4,171125408
2000-10-10,10569.17,10623.55,10488.89,10524.4,216311392
2000-10-11,10521.07,10566.21,10351.26,10413,331010400
2000-10-12,10424.14,10460.03,10023.86,10033.94,374472608
2000-10-13,10031.62,10207.35,10015.9,10192.1,306418208
2000-10-16,10184.78,10272.09,10177.76,10238.8,275624384
2000-10-17,10242.87,10293.18,10026.72,10089.7,258202800
2000-10-18,10085.99,10085.99,9656.12,9975,379858208
2000-10-19,10014.61,10142.98,10014.61,10142.9,350584192
2000-10-20,10141.13,10229.55,10067.51,10198.1,326144992
2000-10-23,10230.29,10359.77,10217.34,10271.7,345963584
2000-10-24,10273.57,10439.31,10273.57,10393,280489792
2000-10-25,10395.66,10461.6,10307.24,10326.8,318739808
2000-10-26,10330.18,10454.48,10265.06,10380.1,282662400
2000-10-27,10381.6,10590.6,10381.23,10590.6,385294784
2000-10-30,10588.06,10869.52,10578.49,10835.7,271360800
2000-10-31,10835.39,10995.03,10812.64,10970.1,287436000
2000-11-01,10966.21,10993.13,10838.04,10904.8,254714400
2000-11-02,10903.17,10946.11,10870.28,10880.8,255448800
2000-11-03,10883.17,10883.17,10756.9,10817.9,199185600
2000-11-06,10820.6,11006.12,10813.78,10977.2,190597200
2000-11-07,10978.72,10996.55,10926.02,10952.1,174572992
2000-11-08,10954.34,11001.86,10907,10907,269993984
2000-11-09,10902.11,10902.11,10618.49,10834.2,257947808
2000-11-10,10813.78,10813.78,10602.9,10602.9,279388192
2000-11-13,10595.35,10595.73,10370.5,10517.2,303980416
2000-11-14,10528.25,10728.08,10528.25,10687.8,231621600
2000-11-15,10681.21,10799.37,10635.94,10707.6,193647008
2000-11-16,10705.33,10757.66,10639.73,10656.7,178785600
2000-11-17,10657.13,10761.45,10566.54,10629.8,226113600
2000-11-20,10624.18,10624.28,10450.13,10462.2,207233408
2000-11-21,10465.57,10569.01,10415.63,10497.1,195248400
2000-11-22,10484.26,10489.19,10371.64,10386.43,208722592
2000-11-23,10470.23,10470.23,10470.23,10470.23,198452464
2000-11-24,10403.87,10507.86,10401.12,10470.23,89739600
2000-11-27,10479.33,10626.84,10479.33,10549.8,207386400
2000-11-28,10537.86,10613.18,10489.95,10501.3,239720400
2000-11-29,10502.74,10746.66,10481.59,10629.1,240332400
2000-11-30,10610.53,10610.53,10293.53,10414.4,369535808
2000-12-01,10416.76,10523.51,10349.27,10373.5,307764608
2000-12-04,10377.33,10604.18,10320.07,10566.6,266628000
