Date,Open,High,Low,Close,Volume
1999-07-27,1347.75,1368.77,1347.75,1362.84,113093752
1999-07-28,1362.84,1370.53,1355.54,1365.4,107953128
1999-07-29,1365.4,1365.4,1332.82,1341.03,120328128
1999-07-30,1341.03,1350.92,1328.49,1328.72,115125000
1999-08-02,1328.72,1344.73,1325.18,1328.05,101492184
1999-08-03,1328.05,1336.06,1314.94,1322.18,115562496
1999-08-04,1322.18,1330.09,1304.54,1305.33,123328128
1999-08-05,1305.33,1313.71,1287.3,1313.71,134265632
1999-08-06,1313.71,1316.75,1293.18,1300.29,109203128
1999-08-09,1300.29,1306.71,1295.93,1297.8,106921872
1999-08-10,1297.8,1298.78,1267.73,1281.43,130656248
1999-08-11,1281.43,1301.93,1281.43,1301.93,123796872
1999-08-12,1301.93,1313.61,1298.06,1298.16,116500000
1999-08-13,1298.16,1327.71,1298.16,1327.68,108078128
1999-08-16,1327.68,1331.1,1320.79,1330.77,91179688
1999-08-17,1330.77,1344.16,1328.76,1344.16,108046872
1999-08-18,1344.16,1344.16,1332.07,1332.84,106687504
1999-08-19,1332.84,1332.84,1315.37,1323.59,106906248
1999-08-20,1323.59,1336.61,1323.59,1336.61,103312496
1999-08-23,1336.61,1360.24,1336.61,1360.22,106656248
1999-08-24,1360.22,1373.32,1353.74,1363.5,114484376
1999-08-25,1363.5,1382.75,1359.18,1381.79,135093744
1999-08-26,1381.79,1381.79,1361.62,1362.01,112343752
1999-08-27,1362.01,1365.63,1347.35,1348.27,89070312
1999-08-30,1348.27,1350.58,1322.77,1324.02,93421872
1999-08-31,1324.02,1333.28,1306.91,1320.41,134640624
1999-09-01,1320.41,1331.18,1320.31,1331.07,110656248
1999-09-02,1331.07,1331.07,1304.8,1319.11,107359376
1999-09-03,1319.11,1357.75,1319.11,1357.24,103625000
1999-09-07,1357.24,1361.39,1349.59,1350.45,111765624
1999-09-08,1343.44,1355.2,1337.36,1344.15,123625000
1999-09-09,1344.15,1347.66,1333.91,1347.66,120921872
1999-09-10,1347.66,1357.62,1346.2,1351.66,126328128
1999-09-13,1351.66,1351.66,1341.7,1344.13,102796872
1999-09-14,1344.13,1344.13,1330.6,1336.29,114765624
1999-09-15,1336.29,1347.41,1317.97,1317.97,123015624
1999-09-16,1317.97,1322.51,1299.95,1318.48,115468752
1999-09-17,1318.48,1337.54,1318.48,1335.42,134671872
1999-09-20,1335.42,1338.55,1330.62,1335.53,88750000
1999-09-21,1335.52,1335.52,1302.06,1307.58,127703128
1999-09-22,1307.58,1316.2,1297.81,1310.51,128468752
1999-09-23,1310.51,1315.09,1277.3,1280.77,139187504
1999-09-24,1280.41,1281.21,1263.79,1277.36,136375008
1999-09-27,1277.36,1294.95,1277.36,1283.31,121968752
1999-09-28,1283.31,1285.39,1256.29,1282.2,138343744
1999-09-29,1282.2,1289.16,1268.16,1268.37,133750000
1999-09-30,1268.37,1291.32,1268.37,1282.71,159000000
1999-10-01,1282.71,1283.19,1265.86,1282.81,140031248
1999-10-04,1282.81,1304.6,1282.81,1304.6,125515624
1999-10-05,1304.6,1316.43,1286.44,1301.35,150890624
1999-10-06,1301.35,1325.46,1301.35,1325.4,139875008
1999-10-07,1325.4,1328.03,1314.13,1317.64,129343752
1999-10-08,1317.64,1336.57,1311.72,1336.02,140203120
1999-10-11,1336.02,1339.23,1324.4,1335.21,102484376
1999-10-12,1335.21,1335.77,1311.8,1313.04,121609376
1999-10-13,1313.04,1313.04,1282.8,1285.55,128359376
1999-10-14,1285.55,1289.59,1267.81,1283.42,139421872
1999-10-15,1283.42,1283.42,1245.39,1247.41,142593744
1999-10-18,1247.41,1254.13,1233.66,1254.13,127921872
1999-10-19,1254.13,1279.3,1254.13,1261.32,141515632
1999-10-20,1261.32,1289.44,1261.32,1289.43,145124992
