Date,Open,High,Low,Close,Adj Close,Volume
2015-12-09,79.290359,81.268700,78.507561,81.083679,70.510803,44408026
2015-12-10,80.101624,80.528603,77.354713,78.151741,67.961174,18787092
2015-12-11,74.550873,76.813866,73.668442,75.959908,66.055138,20007732
2015-12-14,74.636269,75.219803,72.074379,72.999504,63.480743,15628731
2015-12-15,73.654205,74.024261,71.761261,71.974754,62.589626,9833624
2015-12-16,72.558289,72.615227,69.754448,72.188240,62.775265,14386451
2015-12-17,72.430199,73.099136,71.433907,71.519302,62.193550,9037921
2015-12-18,71.519302,71.946289,70.437622,70.636879,61.426186,13596298
2015-12-21,71.035393,72.544060,70.309525,72.544060,63.084705,13674780
2015-12-22,72.971039,74.138123,72.529823,73.298393,63.740677,6839322
2015-12-23,74.052727,74.935150,73.526115,74.764359,65.015472,4610229
2015-12-24,74.949387,75.077477,74.365845,74.451241,64.743202,2227477
2015-12-28,74.109657,74.408539,73.639977,74.337379,64.644180,4789043
2015-12-29,73.611511,75.475998,73.611511,75.134407,65.917847,4056504
2015-12-30,74.650497,74.807060,73.056435,73.526115,64.506821,6829204
2015-12-31,73.454948,74.052727,72.985275,73.269928,64.282059,3278226
2016-01-04,71.547768,71.818192,70.295296,71.063858,62.346603,8600127
2016-01-05,71.419678,71.419678,69.868309,70.523018,61.872112,6152031
2016-01-06,69.711754,69.725983,68.530441,68.971649,60.511055,8978621
2016-01-07,67.733406,68.274246,65.797760,66.381302,58.238464,8602586
2016-01-08,66.979073,67.747643,65.683899,65.868927,57.788918,6825129
2016-01-11,65.982788,66.196274,63.762486,64.616447,56.690094,7152263
2016-01-12,65.399246,65.413475,63.435135,63.748253,55.928394,6894547
2016-01-13,64.360260,64.417191,61.954933,62.097260,54.479923,6447197
2016-01-14,62.139957,63.620159,61.257530,62.965454,55.241615,9978221
2016-01-15,61.001343,62.083027,60.061981,61.143669,53.643307,6997128
2016-01-19,61.883770,62.011864,59.279186,59.876957,52.531975,7409277
2016-01-20,59.179558,59.407280,57.300838,58.809505,51.595455,10460702
2016-01-21,58.852203,59.976585,58.012474,59.777328,52.444569,6617720
2016-01-22,61.300228,62.823128,60.360870,61.513718,53.967960,6936282
2016-01-25,60.987110,61.599113,59.905422,60.033520,52.669338,5133812
2016-01-26,60.275475,60.859013,58.951832,60.432034,53.018955,4912491
2016-01-27,60.617058,61.243298,58.909134,58.937599,51.707859,5522214
2016-01-28,59.777328,59.976585,57.927078,59.136860,51.882664,5516453
2016-01-29,59.535374,59.777328,57.912846,59.777328,52.444569,9442975
2016-02-01,59.179558,60.873245,58.667179,60.602825,53.168804,6124770
2016-02-02,62.823128,64.303329,60.944412,64.089836,56.228077,11530492
2016-02-03,65.086128,66.964844,65.043427,66.523628,58.363319,11768886
2016-02-04,66.794052,67.804573,66.509392,67.448753,59.174961,9258470
2016-02-05,67.576851,67.605316,66.053947,66.452461,58.300869,5642360
2016-02-08,66.125114,66.808281,64.331795,65.797760,57.726482,9493141
